rank,name,score,source,SMILES
"
44,AE-641/00006013,1.558,Specs,"c1ccc(cc1)c1cc(c2ccccc2)nc2ccccc12	AE-641/00006013
"
45,AM-807/41930361,1.558,Specs,"c1ccc(cc1)c1cc(c2c3c(c(=O)cc([nH]3)O)sc2n1)c1ccc(cc1)Cl	AM-807/41930361
"
46,AM-807/14956052,1.558,Specs,"C(#N)c1c(c2c(cc(c3cccs3)nc2s1)c1ccc(cc1)Cl)N	AM-807/14956052
"
47,AK-087/42718333,1.557,Specs,"C(#N)Cc1cc(c2ccc(cc2)C)nn1c1ccc(cc1)Cl	AK-087/42718333
"
48,AB-321/43115455,1.557,Specs,"c1ccc(cc1)c1c2ccccc2n(c2ccccc2)c1C(=O)OC	AB-321/43115455
"
49,AG-927/42926101,1.556,Specs,"c1ccc(cc1)c1c(c(n(c2ccccc2)n1)Cl)Cl	AG-927/42926101
"
50,AG-690/40639050,1.556,Specs,"C(#N)c1c(cc(c2cccs2)nc1OC)c1ccc(cc1)C	AG-690/40639050
"
51,AK-087/42718336,1.556,Specs,"C(#N)Cc1cc(c2ccc(cc2)Br)nn1c1ccc(cc1)OC	AK-087/42718336
"
52,AG-690/13704183,1.554,Specs,"c1ccc(cc1)c1cc(c2c(c(C(=O)OC(C)C)sc2n1)N)c1ccc(cc1)Cl	AG-690/13704183
"
53,AG-205/12125110,1.552,Specs,"C(#N)c1c(cc(c2ccc(cc2)C)nc1N)c1ccc(cc1)Cl	AG-205/12125110
"
54,AO-476/42129205,1.551,Specs,"C(#N)c1c(cc(c2ccc(cc2)F)nc1N)c1ccc(cc1)C	AO-476/42129205
"
55,AG-927/42926100,1.55,Specs,"c1ccc(cc1)c1cc(C)n(c2ccccc2)n1	AG-927/42926100
"
56,AG-401/43339472,1.547,Specs,"c1ccc(cc1)c1nccc(c2ccc(c(c2)Cl)Cl)n1	AG-401/43339472
"
57,AI-060/41884474,1.547,Specs,"c1cc(ccc1c1cc(c2ccc(cc2)Cl)c2c(n1)nc([nH]c2=O)S)C	AI-060/41884474
"
58,AO-476/43380440,1.546,Specs,"c1ccc(cc1)c1cc(c2c(c(C(=O)C)oc2n1)N)c1cccs1	AO-476/43380440
"
59,AH-487/40652383,1.546,Specs,"c1ccc(cc1)n1c2c(c(cc(C)n2)C(F)(F)F)c(c2cccc(c2)Br)n1	AH-487/40652383
"
60,AN-989/42063253,1.543,Specs,"c1cc(ccc1c1cc(c2ccc(cc2)F)n2c(ncn2)n1)C	AN-989/42063253
"
61,AG-690/40750127,1.541,Specs,"C(#N)c1c(cc(c2ccc(cc2)C)nc1SCC)c1ccc(cc1)Cl	AG-690/40750127
"
62,AG-205/36992102,1.541,Specs,"c1cc(c2cc(c3c(c(C(=O)OCC)sc3n2)N)c2ccc(cc2)F)sc1	AG-205/36992102
"
63,AG-205/33140043,1.541,Specs,"c1ccc(cc1)c1cc(c2c(c(C(=O)C3CC3)sc2n1)N)c1ccc(cc1)OC	AG-205/33140043
"
64,AG-205/33125019,1.541,Specs,"C(#N)c1c(cc(c2ccccc2)nc1SCC=C)c1ccc(cc1)Br	AG-205/33125019
"
65,AH-357/03542020,1.54,Specs,"c1ccc(cc1)c1ccc(c2ccccc2)[nH]1	AH-357/03542020
"
66,AG-690/40749447,1.54,Specs,"C(#N)c1c(cc(c2ccccc2)nc1SCC#N)c1ccc(cc1)Cl	AG-690/40749447
